"time_period","ref_area","indicator","breakdown","unit_measure","value"
"2012","BG","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","14.97285306563408"
"2012","BG","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","17.27636892188547"
"2012","BG","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","22.9199827697014"
"2012","CY","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","76.4259340856386"
"2012","CY","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","80.89960285483848"
"2012","CZ","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","26.47980287877268"
"2012","CZ","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","26.47980287877268"
"2012","CZ","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","19.51143370014829"
"2012","DE","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","18.70627408432788"
"2012","DE","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","23.38284260540985"
"2012","DK","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","23.83905912654824"
"2012","DK","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","38.21141034220084"
"2012","DK","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","19.10438998522783"
"2012","EE","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","28.16901480898518"
"2012","EE","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","28.16901480898518"
"2012","EL","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","20.89187192727607"
"2012","EL","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","53.69351283401606"
"2012","EL","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","48.19751201403395"
"2012","ES","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","42.64090975371135"
"2012","ES","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","64.51679720126478"
"2012","ES","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","48.09861290733732"
"2012","EU27","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","24.79009302273979"
"2012","EU27","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","34.44637467519423"
"2012","EU27","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","29.5110869426613"
"2012","FI","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","23.72780068785435"
"2012","FI","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","30.43865896004813"
"2012","FI","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","18.96636911169628"
"2012","FR","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","16.2295842135092"
"2012","FR","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","25.75265770175348"
"2012","HR","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","23.59219761916165"
"2012","HR","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","94.00958933997455"
"2012","HR","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","36.01944830253073"
"2012","HU","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","18.6479547014727"
"2012","HU","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","24.5264693183993"
"2012","HU","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","17.49837850971817"
"2012","IE","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","28.81654385071812"
"2012","IE","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","45.78267001593965"
"2012","IE","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","40.52810394244295"
"2012","IS","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","57.85771618588956"
"2012","IS","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","30.11843333824758"
"2012","IS","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","24.81104722590791"
"2012","IT","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","26.15296122480795"
"2012","IT","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","43.35532009826848"
"2012","IT","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","26.15296122480795"
"2012","LT","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","10.13830313474248"
"2012","LT","price_internet_only","offer_30_100_mbps","minimum_euro_ppp","11.25898959950836"
"2012","LT","price_internet_only","offer_8_12_mbps","minimum_euro_ppp","9.335578876259012"
"2012","LU","price_internet_only","offer_12_30_mbps","minimum_euro_ppp","28.40054796351365"
